Tempo,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17
0.01,56,230,1,278,0,2,1,1,160,70,0,2,9492,2308,-11648,-75,118,-95
0.02,0,294,1,386,0,0,0,0,161,0,1,0,9508,2432,-11564,-87,115,-100
0.03,23,512,1,509,0,1,0,0,161,32,0,1,9400,2240,-11424,-102,104,-93
0.04,23,515,0,504,0,0,1,1,161,32,0,0,9460,2340,-11608,-79,99,-81
0.05,56,500,1,530,0,1,0,1,160,69,0,1,9448,2380,-11580,-100,95,-103
0.060000000000000005,56,500,0,522,0,0,1,1,161,68,0,1,9440,2196,-11568,-88,106,-106
0.07,56,503,0,522,0,1,1,1,161,69,1,1,9432,2344,-11608,-94,77,-126
0.08,76,448,1,535,0,1,1,1,161,82,1,0,9372,2320,-11572,-93,107,-119
0.09,76,446,0,529,0,1,1,1,161,81,1,1,9400,2212,-11576,-83,98,-108
0.09999999999999999,61,328,1,468,0,1,1,2,161,85,1,0,9424,2384,-11548,-78,113,-111
0.10999999999999999,62,324,0,461,0,1,1,1,162,87,1,0,9472,2304,-11584,-97,96,-95
0.11999999999999998,51,175,1,357,0,2,0,1,161,55,0,1,9416,2344,-11640,-78,99,-108
0.12999999999999998,27,115,1,306,0,1,1,0,160,34,1,0,9360,2448,-11564,-96,102,-102
0.13999999999999999,27,143,0,299,0,0,1,1,161,34,1,0,9432,2368,-11680,-97,95,-102
0.15,0,93,1,267,0,1,1,1,160,8,1,1,9456,2404,-11564,-71,76,-129
0.16,0,182,1,285,1,1,0,0,160,0,0,1,9364,2380,-11552,-93,92,-101
0.17,0,487,1,471,0,1,0,0,160,0,0,1,9356,2280,-11588,-87,86,-81
0.18000000000000002,78,435,0,533,1,1,0,1,161,82,1,0,9408,2344,-11580,-66,114,-87
0.19000000000000003,62,315,1,458,0,1,1,2,161,84,1,0,9376,2364,-11676,-87,99,-102
0.20000000000000004,56,237,1,403,0,1,0,1,161,68,0,0,9396,2320,-11456,-89,112,-114
0.21000000000000005,57,234,0,394,0,1,1,1,161,67,0,1,9456,2272,-11484,-90,115,-102
0.22000000000000006,55,232,0,395,0,0,0,1,161,67,0,2,9456,2312,-11496,-83,108,-78
0.23000000000000007,47,164,1,354,0,1,0,1,161,51,1,0,9400,2360,-11616,-77,96,-96
0.24000000000000007,0,53,1,268,0,1,0,1,161,7,0,1,9392,2444,-11460,-86,93,-96
0.25000000000000006,0,261,1,331,0,1,0,0,161,0,0,0,9364,2312,-11516,-77,98,-103
0.26000000000000006,30,522,0,522,1,1,0,1,161,40,1,1,9508,2392,-11656,-79,103,-107
0.2700000000000001,30,521,0,515,0,1,1,0,161,41,1,0,9452,2384,-11608,-69,60,-87
0.2800000000000001,61,489,1,532,0,1,0,1,161,71,1,1,9392,2300,-11624,-94,104,-103
0.2900000000000001,61,487,0,524,0,0,1,1,161,71,1,0,9380,2308,-11520,-88,104,-92
0.3000000000000001,79,416,1,532,0,1,0,1,161,81,1,1,9420,2468,-11676,-91,87,-96
0.3100000000000001,56,224,1,396,0,1,0,1,161,66,0,1,9404,2340,-11620,-88,79,-102
0.3200000000000001,47,157,1,348,0,0,0,1,160,50,1,0,9396,2368,-11680,-95,102,-104
0.3300000000000001,47,175,0,340,0,1,0,1,161,50,0,1,9388,2300,-11588,-79,95,-103
0.34000000000000014,21,115,1,300,0,1,1,1,161,27,1,0,9452,2408,-11560,-92,98,-93
0.35000000000000014,0,101,1,265,0,1,0,1,161,0,0,1,9444,2280,-11500,-96,106,-107
0.36000000000000015,0,156,1,284,0,1,0,0,161,0,0,1,9452,2316,-11628,-101,99,-96
